Taskracer detects TSAN runtime, carrying out race detection using DPST
Computation Graph recording enabled
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
Racy access at /home/fjin/gitRepo/dataracebench/micro-benchmarks/DRB021-reductionmissing-orig-yes.c:70
